32 48 37
58 47 37
38 50 29
29 43 29
64 27 32
52 27 28
30 22 39
63 39 29
48 47 34
57 27 34
52 34 45
21 71 17
12 59 25
75 60 24
39 49 39
51 49 39
41 56 41
36 54 44
51 61 43
39 65 42
41 38 39
37 57 35
41 49 30
41 39 42
51 62 37
38 45 39
53 53 34
48 40 42
44 53 24
65 37 61
44 49 16
44 35 60
59 66 62
24 28 55
28 83 49
40 48 23
47 26 60
53 71 34
40 70 35
40 40 51
62 88 45
49 79 43
70 34 28
46 45 58
38 52 54
47 69 57
40 47 40
44 64 68
19 45 54
51 50 58
55 65 71
40 70 52
56 54 24
43 76 57
62 55 20
34 53 23
64 69 32
63 77 58
45 92 41
60 72 55
71 62 38
60 79 25
22 66 16
70 77 47
63 87 36
38 55 58
32 49 68
47 92 33
26 57 21
28 33 58
17 33 42
37 71 68
75 36 37
38 95 46
66 81 49
61 75 31
46 68 49
51 71 57
26 39 55
71 28 30
49 75 56
43 82 52
63 54 55
41 69 58
23 33 49
34 59 21
69 64 54
46 78 63
57 93 45
67 63 61
50 80 49
49 96 39
58 93 36
56 88 41
43 85 46
40 86 40
42 83 32
66 80 44
20 39 45
25 59 16
59 51 61
40 85 60
