'L,MFG','L,PreSMA','L,SMG','L,PreCu','L,RSC','L,pACC','L,pMCC','L,aINS','R,MFG','R,PreSMA','R,SMG','R,PreCu','R,RSC','R,pACC','R,pMCC','R,aINS','L,BG','L,Thal','R,BG','R,Thal','L,MTJ','R,MTJ','rPons','cPons','L,DentN','R,DentN','Vermis'
0.00,1.24,2.73,1.90,2.50,0.68,1.58,1.61,0.59,1.40,1.02,2.06,1.60,0.58,2.27,2.41,1.06,1.47,2.02,0.09,2.93,2.44,1.40,1.81,0.69,1.63,0.36
1.24,0.00,2.33,4.46,3.91,0.73,3.17,2.55,0.92,1.39,1.92,4.16,2.42,0.30,3.23,3.33,3.59,2.62,2.79,2.97,3.78,3.20,0.98,0.98,0.30,0.79,1.01
2.73,2.33,0.00,1.07,0.81,2.48,1.66,2.20,1.84,1.64,0.36,0.74,2.24,2.06,2.03,2.21,3.26,2.03,3.75,2.03,3.02,3.21,2.76,3.72,3.27,3.50,1.70
1.90,4.46,1.07,0.00,0.55,2.92,1.60,2.31,2.25,2.73,1.69,0.34,-0.02,3.12,1.94,2.74,2.40,0.80,1.84,0.31,2.16,2.24,2.50,3.07,2.22,2.29,0.67
2.50,3.91,0.81,0.55,0.00,3.86,0.73,1.41,2.69,3.79,0.95,0.59,2.27,3.19,0.93,1.30,0.79,1.11,1.25,0.89,1.76,2.44,1.62,1.03,0.69,0.54,1.42
0.68,0.73,2.48,2.92,3.86,0.00,2.60,1.68,0.37,1.97,1.65,3.71,3.04,-0.15,2.36,1.05,1.55,3.53,1.07,2.66,3.08,2.90,1.81,2.42,1.45,1.53,1.07
1.58,3.17,1.66,1.60,0.73,2.60,0.00,1.71,0.98,2.90,0.94,1.75,0.31,2.66,1.45,3.26,2.07,0.94,1.93,0.40,1.78,2.04,0.46,1.80,1.52,1.87,1.24
1.61,2.55,2.20,2.31,1.41,1.68,1.71,0.00,2.46,3.06,2.12,2.30,1.46,0.42,2.56,2.00,2.40,2.61,1.70,3.10,3.09,3.90,2.32,2.22,1.45,1.64,1.43
0.59,0.92,1.84,2.25,2.69,0.37,0.98,2.46,0.00,0.37,1.03,2.20,1.88,-0.39,1.01,2.06,1.51,1.20,1.19,0.65,1.88,2.31,1.50,1.40,0.82,1.41,0.82
1.40,1.39,1.64,2.73,3.79,1.97,2.90,3.06,0.37,0.00,1.50,2.92,3.02,0.49,2.73,2.10,2.94,3.90,1.65,3.46,2.94,3.53,2.57,2.37,2.42,2.58,2.37
